x,y,z,u,v
1.1604,1.7761,-1.175,1.529085,0.5714892
1.2306,1.8836,-1.175,1.5210391,0.56520087
0.80339,1.8315,-1.175,1.5303383,0.5738994
0.8522,1.9428,-1.175,1.5208383,0.56666356
0.90381,2.0605,-1.175,1.5129447,0.5604838
0.49097,1.9388,-1.175,1.5223693,0.5689059
0.5208,2.0566,-1.175,1.5132935,0.5618948
0.55234,2.1812,-1.175,1.506017,0.55603933
0.16516,1.9932,-1.175,1.5193726,0.5670226
0.17519,2.1143,-1.175,1.511032,0.56041676
0.1858,2.2423,-1.175,1.5046256,0.5550311
-0.16516,1.9932,-1.175,1.5221844,0.5690344
-0.17519,2.1143,-1.175,1.5145503,0.56286037
-0.1858,2.2423,-1.175,1.5088327,0.55788666
-0.49097,1.9388,-1.175,1.5287118,0.57368183
-0.5208,2.0566,-1.175,1.5216419,0.5679145
-0.55234,2.1812,-1.175,1.5164013,0.5632962
-0.80339,1.8315,-1.175,1.5348309,0.57813406
-0.8522,1.9428,-1.175,1.5280383,0.5726266
