x,y,z,convected,diffused
-1.3546,1.4714,-1.4125,0.65031,1.6401
-1.4369,1.5609,-1.4125,0.6504,1.6402
-1.5239,1.6554,-1.4125,0.65034,1.6401
-1.5783,1.2284,-1.4125,0.65031,1.6401
-1.6742,1.3031,-1.4125,0.65039,1.6402
-1.7756,1.382,-1.4125,0.65034,1.6401
-1.7589,0.95189,-1.4125,0.65031,1.6401
-1.8658,1.0097,-1.4125,0.65039,1.6402
-1.9788,1.0709,-1.4125,0.65034,1.6401
-1.8916,0.6494,-1.4125,0.65031,1.6401
-2.0066,0.68886,-1.4125,0.65039,1.6402
-2.1281,0.73057,-1.4125,0.65034,1.6401
-1.9727,0.32919,-1.4125,0.65031,1.6401
-2.0926,0.34919,-1.4125,0.65039,1.6402
-2.2193,0.37034,-1.4125,0.65034,1.6401
-2,1.71E-16,-1.4125,0.65031,1.6401
-2.1215,-4.70E-07,-1.4125,0.65039,1.6402
-2.25,-1.93E-16,-1.4125,0.65034,1.6401
-1.9727,-0.32919,-1.4125,0.65031,1.6401
-2.0926,-0.34919,-1.4125,0.65039,1.6402
-2.2193,-0.37034,-1.4125,0.65034,1.6401
-1.8916,-0.6494,-1.4125,0.65031,1.6401
-2.0066,-0.68886,-1.4125,0.65039,1.6401
-2.1281,-0.73057,-1.4125,0.65034,1.6401
-1.7589,-0.95189,-1.4125,0.65031,1.6401
-1.8658,-1.0097,-1.4125,0.65039,1.6401
-1.9788,-1.0709,-1.4125,0.65033,1.6401
-1.5783,-1.2284,-1.4125,0.65031,1.6401
-1.6742,-1.3031,-1.4125,0.65039,1.6401
-1.7756,-1.382,-1.4125,0.65033,1.6401
-1.3546,-1.4714,-1.4125,0.65031,1.6401
-1.4369,-1.5609,-1.4125,0.65039,1.6401
-1.5239,-1.6554,-1.4125,0.65033,1.6401
-1.0939,-1.6743,-1.4125,0.6503,1.6401
-1.1604,-1.7761,-1.4125,0.65038,1.6401
-1.2306,-1.8836,-1.4125,0.65032,1.6401
-0.80339,-1.8315,-1.4125,0.65029,1.6401
-0.8522,-1.9428,-1.4125,0.65037,1.6401
-0.90381,-2.0605,-1.4125,0.65032,1.6401
-0.49097,-1.9388,-1.4125,0.65028,1.64
-0.5208,-2.0566,-1.4125,0.65036,1.6401
-0.55234,-2.1812,-1.4125,0.65031,1.6401
-0.16516,-1.9932,-1.4125,0.65027,1.64
-0.17519,-2.1143,-1.4125,0.65035,1.6401
-0.1858,-2.2423,-1.4125,0.6503,1.64
0.16516,-1.9932,-1.4125,0.65027,1.64
0.17519,-2.1143,-1.4125,0.65035,1.6401
0.1858,-2.2423,-1.4125,0.65029,1.64
0.49097,-1.9388,-1.4125,0.65026,1.64
0.5208,-2.0566,-1.4125,0.65034,1.6401
0.55234,-2.1812,-1.4125,0.65029,1.64
0.80339,-1.8315,-1.4125,0.65026,1.64
0.8522,-1.9428,-1.4125,0.65034,1.6401
0.90381,-2.0605,-1.4125,0.65029,1.64
1.0939,-1.6743,-1.4125,0.65027,1.64
1.1604,-1.7761,-1.4125,0.65035,1.6401
1.2306,-1.8836,-1.4125,0.65029,1.64
1.3546,-1.4714,-1.4125,0.65028,1.64
1.4369,-1.5609,-1.4125,0.65036,1.6401
1.5239,-1.6554,-1.4125,0.6503,1.6401
1.5783,-1.2284,-1.4125,0.65029,1.64
1.6742,-1.3031,-1.4125,0.65037,1.6401
1.7756,-1.382,-1.4125,0.65031,1.6401
1.7589,-0.95189,-1.4125,0.6503,1.6401
1.8658,-1.0097,-1.4125,0.65038,1.6401
1.9788,-1.0709,-1.4125,0.65032,1.6401
1.8916,-0.6494,-1.4125,0.65031,1.6401
